dataset,model,query,ground_truth,prediction,Accuracy (EM),faithfulness
SciFact,Qwen/Qwen2.5-7B-Instruct,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Anthrax spores can be disposed of easily after they are dispersed.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Arginine 90 in p150n is important for interaction with EB1.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Arterioles have a larger lumen diameter than venules.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Articles published in open access format are less likely to be cited than traditional journals.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Articles published in open access format are less likely to be cited than traditional journals.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Articles published in open access format are less likely to be cited than traditional journals.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Articles published in open access format are less likely to be cited than traditional journals.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Articles published in open access format are more likely to be cited than traditional journals.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Articles published in open access format are more likely to be cited than traditional journals.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Articles published in open access format are more likely to be cited than traditional journals.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Articles published in open access format are more likely to be cited than traditional journals.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Aspirin inhibits the production of PGE2.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.",SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Auditory entrainment is strengthened when people see congruent visual and auditory information.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Auditory entrainment is strengthened when people see congruent visual and auditory information.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Auditory entrainment is strengthened when people see congruent visual and auditory information.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Auditory entrainment is strengthened when people see congruent visual and auditory information.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Auditory entrainment is strengthened when people see congruent visual and auditory information.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Auditory entrainment is strengthened when people see congruent visual and auditory information.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Autophagy declines in aged organisms.,SUPPORT,REFUTE,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Bariatric surgery has a positive impact on mental health.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Bariatric surgery has a positive impact on mental health.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Birth-weight is positively associated with breast cancer.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Birth-weight is positively associated with breast cancer.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Birth-weight is positively associated with breast cancer.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Birth-weight is positively associated with breast cancer.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Birth-weight is positively associated with breast cancer.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Birth-weight is positively associated with breast cancer.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Birth-weight is positively associated with breast cancer.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Birth-weight is positively associated with breast cancer.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 leads to increased TDP-43-induced neuronal loss.,REFUTE,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Bone marrow cells contribute to adult macrophage compartments.,REFUTE,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Breast cancer development is determined exclusively by genetic factors.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Breast cancer development is determined exclusively by genetic factors.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CCL19 is absent within dLNs.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CHEK2 is not associated with breast cancer.,SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CR is associated with higher methylation age.,REFUTE,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CR is associated with higher methylation age.,REFUTE,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CR is associated with higher methylation age.,REFUTE,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CR is associated with higher methylation age.,REFUTE,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CR is associated with higher methylation age.,REFUTE,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery.,NEUTRAL,REFUTE,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CX3CR1 on the Th2 cells impairs T cell survival,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CX3CR1 on the Th2 cells promotes T cell survival,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CX3CR1 on the Th2 cells promotes airway inflammation.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CX3CR1 on the Th2 cells promotes airway inflammation.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CX3CR1 on the Th2 cells promotes airway inflammation.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CX3CR1 on the Th2 cells suppresses airway inflammation.,REFUTE,SUPPORT,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,CX3CR1 on the Th2 cells suppresses airway inflammation.,REFUTE,SUPPORT,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cataract and trachoma are the primary cause of blindness in Southern Sudan.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,REFUTE,SUPPORT,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,REFUTE,SUPPORT,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,REFUTE,SUPPORT,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cell autonomous sex determination in somatic cells occurs in Passeriformes.,SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cell autonomous sex determination in somatic cells occurs in Passeriformes.,SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cell autonomous sex determination in somatic cells occurs in Passeriformes.,SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cells lacking clpC have a defect in sporulation efficiency in Bacillus subtilis.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cells undergoing methionine restriction may activate miRNAs.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cellular aging closely links to an older appearance.,SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cellular aging closely links to an older appearance.,SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Chenodeosycholic acid treatment increases whole-body energy expenditure.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Chenodeosycholic acid treatment increases whole-body energy expenditure.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.",SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.",SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cold exposure increases BAT recruitment.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cold exposure reduces BAT recruitment.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Combination nicotine replacement therapies with varenicline or bupropion lead to significantly higher long-term abstinence rates at 52 weeks than varenicline monotherapy.,REFUTE,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Combination nicotine replacement therapies with varenicline or bupropion lead to significantly higher long-term abstinence rates at 52 weeks than varenicline monotherapy.,REFUTE,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Crossover hot spots are not found within gene promoters in Saccharomyces cerevisiae.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is important in the regulation of intestinal homeostasis.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is important in the regulation of intestinal homeostasis.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Cytosolic proteins bind to iron-responsive elements on mRNAs coding for DMT1. Cytosolic proteins bind to iron-responsive elements on mRNAs coding for proteins involved in iron uptake.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,DMRT1 is a sex-determining gene that is epigenetically regulated by the MHM region.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,De novo assembly of sequence data has more specific contigs than unassembled sequence data.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Deamination of cytidine to uridine on the minus strand of viral DNA results in catastrophic G-to-A mutations in the viral genome.,SUPPORT,REFUTE,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Deleting Raptor reduces G-CSF levels.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Dexamethasone decreases risk of postoperative bleeding.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Dexamethasone decreases risk of postoperative bleeding.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Dexamethasone decreases risk of postoperative bleeding.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis.,NEUTRAL,REFUTE,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,During the primary early antibody response activated B cells migrate toward the inner-and outer paracortical areas where oxysterol accumulation is generated by stromal cells.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Enhanced early production of inflammatory chemokines improves viral control in the lung.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Epidemiological disease burden from noncommunicable diseases is more prevalent in low economic settings.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Epigenetic modulating agents (EMAs) modulate antitumor immune response in a cancer model system.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Ethanol stress decreases the expression of IBP in bacteria.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Exposure to fine particulate air pollution is relate to anxiety prevalence.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Exposure to fine particulate air pollution is relate to anxiety prevalence.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Febrile seizures increase the threshold for development of epilepsy.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Febrile seizures reduce the threshold for development of epilepsy.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for dementia.,SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Flexible molecules experience greater steric hindrance in the tumor microenviroment than rigid molecules.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,FoxO3a activation in neuronal death is mediated by reactive oxygen species (ROS).,SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Free histones are degraded by a Rad53-dependent mechanism once DNA has been replicated.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Free histones are degraded by a Rad53-dependent mechanism once DNA has been replicated.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Functional consequences of genomic alterations due to Myelodysplastic syndrome (MDS) are poorly understood due to the lack of an animal model.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Fz/PCP-dependent Pk localizes to the anterior membrane of neuroectoderm cells during zebrafish neuralation,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Fz/PCP-dependent Pk localizes to the anterior membrane of notochord cells during zebrafish neuralation.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,GATA-3 is important for hematopoietic stem cell (HSC) function.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Gene expression does not vary appreciably across genetically identical cells.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Gene expression does not vary appreciably across genetically identical cells.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Glycolysis is one of the primary glycometabolic pathways in cells.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Golli-deficient T-cells prefer to differentiate into an anergic phenotype in the adaptive immune response when there are increased levels of Ca2+ in the cytosol.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,HNF4A mutations can cause diabetes in mutant carriers by the age of 14 years,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Headaches are not correlated with cognitive impairment.,SUPPORT,REFUTE,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,"Healthcare delivery efficiency in crowded delivery centers is impaired by improving structural, logistical, and interpersonal elements.",NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Helminths interfere with immune system control of macrophages activated by IL-4 favor Mycobacterium tuberculosis replication.,NEUTRAL,SUPPORT,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Hematopoietic Stem Cell purification reaches purity rate of up to 50%.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,High cardiopulmonary fitness causes increased mortality rate.,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,High dietary calcium intakes are unnecessary for prevention of secondary hyperparathyroidism in subjects with 25(OH)D levels above 75 nmol/liter.,NEUTRAL,SUPPORT,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,High levels of CRP reduces the risk of exacerbations in chronic obstructive pulmonary disease (COPD).,REFUTE,REFUTE,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,High levels of copeptin decrease risk of diabetes.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,High-sensitivity cardiac troponin T (HSCT-T) dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before acute myocardial injury (AMI).,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Histone demethylase recruitment and a transient decrease in histone methylation is necessary for ligand-dependent induction of transcription by nuclear receptors.,SUPPORT,NEUTRAL,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Homozygous deletion of murine Sbds gene from osterix-expressing mesenchymal stem and progenitor cells (MPCs) prevents oxidative stress.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Human T-lymphotropic virus type-I-associated myelopathy / tropical spastic paraparesis (HAM/TSP) patients produce Immunoglobulin G (IgG) antibodies which cross-react with an immunodominant epitope in Tax.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,REFUTE,SUPPORT,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,REFUTE,SUPPORT,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,REFUTE,SUPPORT,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Hyperfibrinogenemia decreases rates of femoropopliteal bypass thrombosis.,REFUTE,SUPPORT,0,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Hyperfibrinogenemia increases rates of femoropopliteal bypass thrombosis.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Hypertension is frequently observed in type 1 diabetes patients.,NEUTRAL,NEUTRAL,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Hypocretin neurones induce panicprone state in rats.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Hypoglycemia increases the risk of dementia.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Hypoglycemia increases the risk of dementia.,SUPPORT,SUPPORT,1,0
SciFact,Qwen/Qwen2.5-7B-Instruct,Hypothalamic glutamate neurotransmission is crucial to energy balance.,SUPPORT,NEUTRAL,0,0
